Set_Number	Site	Hooks	Set	Day	Month	Year	Soak_Time	Latitude	Longitude	Surface_Temp	Surface_Salinity	Surface_DO	Bottom_Temp	Bottom_Salinity	Bottom_DO	Depth
65	Aransas_Bay	50	2	28	7	2016	2.35	27.96783	-97.03273	30.1	29.1	5.69	30.1	29.2	5.73	3.596313
98	Aransas_Bay	50	1	23	5	2017	1.23333	27.96405	-97.02581	27	25.4	6.22	27	25.7	6.12	3.599609
118	Aransas_Bay	50	1	11	7	2017	2.03333	27.95944	-97.03067	30.3	26.2	5.82	30.2	26.6	5.36	3.601562
37	Aransas_Bay	45	5	25	5	2016	1.68333	27.98217	-97.0191							3.602417
147	Redfish_Bay	50	3	20	10	2017	1.51667	27.78974	-97.1453	25.1	25.9	6.33	24.8	26.7	5.7	3.6149
24	Aransas_Bay	50	4	22	9	2015	1.66667	27.96923	-97.02332	29.3	24.95	3.31	28.7	25.49	3.35	3.619629
187	Aransas_Bay	50	2	4	9	2018	1.91667	27.98819	-97.02986	29.6	39.4	5.6	29.7	39.5	5.33	3.62
100	Aransas_Bay	50	3	23	5	2017	1.61667	27.96943	-97.0386	27.3	25.8	6.49	27.3	25.8	6.42	3.6274
68	Aransas_Bay	50	5	28	7	2016	1.5	27.98683	-97.03015	30.6	25.3	6.24	30.5	29.2	6.23	3.627686
145	Redfish_Bay	50	1	20	10	2017	1.65	27.78836	-97.1417	24.6	26	5.73	24.8	27.1	5	3.6521
16	Corpus_Christi_Bay	50	4	24	8	2015	2	27.85612	-97.33018	32	31.18	6.66	30.3	31.89	3.55	3.652344
1	Aransas_Bay	50	1	28	7	2015	2.61667	27.98153	-97.0307	31.5	31	8.9	31.6	30.08	8	3.670654
2	Aransas_Bay	50	2	28	7	2015	1.88333	27.98153	-97.0307	32	29.73	5.77	31.9	29.77	5.71	3.670654
162	Aransas_Bay	50	2	17	7	2018	1.36667	27.9864	-97.0281	29.8	32.3	5.34	29.8	32.4	5.06	3.6746
153	Aransas_Bay	50	1	15	5	2018	1.83333	27.99036	-97.0199	27.4	29.6		27.4	29.7		3.68335
19	Aransas_Bay	50	3	25	8	2015	2.03333	27.9761	-97.02409	32.4	31.8	6.75	30.4	34.01	6.5	3.688232
136	Redfish_Bay	50	2	13	9	2017	1.76667	27.78793	-97.1433	26.8	28	6.42	27	28.6	6.09	3.688721
88	Aransas_Bay	50	3	22	9	2016	1.43333	27.97849	-97.03864	31	21.6	6.14	30.5	26.9	4.61	3.710938
