sample filter reads k_reads
S47_R1.fastq.gz denoisedF 481 0.481
S47_R1.fastq.gz denoisedR 479 0.479
S47_R1.fastq.gz merged 426 0.426
S47_R1.fastq.gz rm_chimera 426 0.426
S48_R1.fastq.gz reads.in 1000 1
S48_R1.fastq.gz trimmed 390 0.39
S48_R1.fastq.gz denoisedF 334 0.334
S48_R1.fastq.gz denoisedR 324 0.324
S48_R1.fastq.gz merged 313 0.313
S48_R1.fastq.gz rm_chimera 313 0.313
S49_R1.fastq.gz reads.in 1000 1
S49_R1.fastq.gz trimmed 516 0.516
S49_R1.fastq.gz denoisedF 457 0.457
S49_R1.fastq.gz denoisedR 438 0.438
S49_R1.fastq.gz merged 407 0.407
S49_R1.fastq.gz rm_chimera 407 0.407
S5_R1.fastq.gz reads.in 1000 1
S5_R1.fastq.gz trimmed 387 0.387
S5_R1.fastq.gz denoisedF 294 0.294
S5_R1.fastq.gz denoisedR 309 0.309
S5_R1.fastq.gz merged 254 0.254
S5_R1.fastq.gz rm_chimera 254 0.254
S50_R1.fastq.gz reads.in 1000 1
S50_R1.fastq.gz trimmed 422 0.422
S50_R1.fastq.gz denoisedF 367 0.367
S50_R1.fastq.gz denoisedR 375 0.375
S50_R1.fastq.gz merged 202 0.202
S50_R1.fastq.gz rm_chimera 202 0.202
S51_R1.fastq.gz reads.in 1000 1
S51_R1.fastq.gz trimmed 567 0.567
S51_R1.fastq.gz denoisedF 466 0.466
S51_R1.fastq.gz denoisedR 459 0.459
S51_R1.fastq.gz merged 393 0.393
S51_R1.fastq.gz rm_chimera 393 0.393
S52_R1.fastq.gz reads.in 1000 1
S52_R1.fastq.gz trimmed 521 0.521
S52_R1.fastq.gz denoisedF 466 0.466
S52_R1.fastq.gz denoisedR 440 0.44
S52_R1.fastq.gz merged 396 0.396
S52_R1.fastq.gz rm_chimera 396 0.396
S53_R1.fastq.gz reads.in 1000 1
S53_R1.fastq.gz trimmed 599 0.599
S53_R1.fastq.gz denoisedF 546 0.546
S53_R1.fastq.gz denoisedR 538 0.538
S53_R1.fastq.gz merged 488 0.488
S53_R1.fastq.gz rm_chimera 488 0.488
S54_R1.fastq.gz reads.in 1000 1
S54_R1.fastq.gz trimmed 472 0.472
S54_R1.fastq.gz denoisedF 420 0.42
S54_R1.fastq.gz denoisedR 431 0.431
S54_R1.fastq.gz merged 368 0.368
S54_R1.fastq.gz rm_chimera 368 0.368
S55_R1.fastq.gz reads.in 1000 1
S55_R1.fastq.gz trimmed 570 0.57
S55_R1.fastq.gz denoisedF 508 0.508
S55_R1.fastq.gz denoisedR 513 0.513
S55_R1.fastq.gz merged 479 0.479
S55_R1.fastq.gz rm_chimera 479 0.479
S56_R1.fastq.gz reads.in 1000 1
S56_R1.fastq.gz trimmed 415 0.415
S56_R1.fastq.gz denoisedF 385 0.385
S56_R1.fastq.gz denoisedR 377 0.377
S56_R1.fastq.gz merged 309 0.309
S56_R1.fastq.gz rm_chimera 309 0.309
S58_R1.fastq.gz reads.in 1000 1
S58_R1.fastq.gz trimmed 525 0.525
S58_R1.fastq.gz denoisedF 508 0.508
S58_R1.fastq.gz denoisedR 508 0.508
S58_R1.fastq.gz merged 450 0.45
S58_R1.fastq.gz rm_chimera 450 0.45
S59_R1.fastq.gz reads.in 1000 1
S59_R1.fastq.gz trimmed 558 0.558
S59_R1.fastq.gz denoisedF 544 0.544
S59_R1.fastq.gz denoisedR 534 0.534
S59_R1.fastq.gz merged 534 0.534
S59_R1.fastq.gz rm_chimera 534 0.534
S6_R1.fastq.gz reads.in 1000 1
S6_R1.fastq.gz trimmed 619 0.619
S6_R1.fastq.gz denoisedF 613 0.613
S6_R1.fastq.gz denoisedR 613 0.613
S6_R1.fastq.gz merged 571 0.571
S6_R1.fastq.gz rm_chimera 571 0.571
S60_R1.fastq.gz reads.in 1000 1
S60_R1.fastq.gz trimmed 593 0.593
S60_R1.fastq.gz denoisedF 563 0.563
S60_R1.fastq.gz denoisedR 565 0.565
S60_R1.fastq.gz merged 518 0.518
S60_R1.fastq.gz rm_chimera 518 0.518
S61_R1.fastq.gz reads.in 1000 1
S61_R1.fastq.gz trimmed 537 0.537
S61_R1.fastq.gz denoisedF 468 0.468
S61_R1.fastq.gz denoisedR 470 0.47
S61_R1.fastq.gz merged 371 0.371
S61_R1.fastq.gz rm_chimera 371 0.371
S62_R1.fastq.gz reads.in 1000 1
S62_R1.fastq.gz trimmed 470 0.47
S62_R1.fastq.gz denoisedF 439 0.439
S62_R1.fastq.gz denoisedR 436 0.436
S62_R1.fastq.gz merged 392 0.392
S62_R1.fastq.gz rm_chimera 392 0.392
S63_R1.fastq.gz reads.in 1000 1
S63_R1.fastq.gz trimmed 643 0.643
S63_R1.fastq.gz denoisedF 571 0.571
S63_R1.fastq.gz denoisedR 579 0.579
S63_R1.fastq.gz merged 554 0.554
S63_R1.fastq.gz rm_chimera 554 0.554
S64_R1.fastq.gz reads.in 1000 1
S64_R1.fastq.gz trimmed 595 0.595
S64_R1.fastq.gz denoisedF 540 0.54
S64_R1.fastq.gz denoisedR 550 0.55
S64_R1.fastq.gz merged 487 0.487
S64_R1.fastq.gz rm_chimera 487 0.487
S65_R1.fastq.gz reads.in 1000 1
S65_R1.fastq.gz trimmed 561 0.561
S65_R1.fastq.gz denoisedF 487 0.487
S65_R1.fastq.gz denoisedR 473 0.473
S65_R1.fastq.gz merged 438 0.438
S65_R1.fastq.gz rm_chimera 438 0.438
S66_R1.fastq.gz reads.in 1000 1
S66_R1.fastq.gz trimmed 551 0.551
S66_R1.fastq.gz denoisedF 471 0.471
S66_R1.fastq.gz denoisedR 485 0.485
S66_R1.fastq.gz merged 370 0.37
S66_R1.fastq.gz rm_chimera 370 0.37
S67_R1.fastq.gz reads.in 1000 1
S67_R1.fastq.gz trimmed 543 0.543
S67_R1.fastq.gz denoisedF 486 0.486
S67_R1.fastq.gz denoisedR 483 0.483
S67_R1.fastq.gz merged 438 0.438
S67_R1.fastq.gz rm_chimera 438 0.438
S68_R1.fastq.gz reads.in 1000 1
S68_R1.fastq.gz trimmed 532 0.532
S68_R1.fastq.gz denoisedF 501 0.501
S68_R1.fastq.gz denoisedR 499 0.499
